epoch;lr;epoch_time;train_loss;train_dice;train_iou;train_acc;train_precision;train_recall;train_f1;val_loss;val_dice;val_iou;val_acc;val_precision;val_recall;val_f1
0;0.001;87.44913458824158;0.1791006788512729;0.8877857327461243;0.711353063583374;0.9876617789268494;0.7163461446762085;0.9902965426445007;0.831334114074707;1.799347230366298;0.2399434596300125;0.12450059503316879;0.9386621117591858;0.15496531128883362;0.38774222135543823;0.22143268585205078
1;0.001;87.03953337669373;0.013775858158455384;0.993423342704773;0.9868267178535461;0.9995906949043274;0.9880963563919067;0.9986996054649353;0.9933697581291199;2.3480693442480907;0.3285977840423584;0.18428032100200653;0.9682734608650208;0.30414676666259766;0.31861042976379395;0.31121063232421875
2;0.001;86.55072546005249;0.0058855261385366816;0.9966147541999817;0.9933492541313171;0.9997945427894592;0.9939379692077637;0.9994041323661804;0.9966635704040527;2.7080109460013255;0.27710074186325073;0.14474447071552277;0.9632880687713623;0.23320545256137848;0.2761925756931305;0.25288522243499756
3;0.001;86.9597635269165;0.0063598411657310875;0.9955527782440186;0.9908024668693542;0.9997151494026184;0.991578221321106;0.9992109537124634;0.9953799247741699;2.7264030150004794;0.3203003704547882;0.16292205452919006;0.9638649225234985;0.2538512349128723;0.3126378059387207;0.2801942825317383
4;0.001;86.7308280467987;0.0027282569327681566;0.9980143308639526;0.996170699596405;0.9998819828033447;0.9964499473571777;0.9997187852859497;0.9980816841125488;2.872305052621024;0.321360319852829;0.1659097522497177;0.9643831253051758;0.259601354598999;0.3149295449256897;0.2846013605594635
5;0.001;87.45187592506409;0.007060955805142737;0.9947597980499268;0.9894521832466125;0.999673068523407;0.9907321333885193;0.998695969581604;0.9946981072425842;3.5448145866394043;0.19215843081474304;0.10281652957201004;0.9726551175117493;0.28189605474472046;0.1393018513917923;0.1864617019891739
6;0.001;87.28856754302979;0.003913274866726176;0.997132420539856;0.9944189786911011;0.9998278021812439;0.9949433207511902;0.9994703531265259;0.997201681137085;2.998411842754909;0.3204096257686615;0.17600977420806885;0.9651694893836975;0.2733822762966156;0.33072927594184875;0.2993338704109192
7;0.001;86.88346600532532;0.009392513830325758;0.9926983714103699;0.9817052483558655;0.9994285702705383;0.9830327033996582;0.9986263513565063;0.9907681345939636;1.788897889001029;0.3693569600582123;0.20821627974510193;0.9567184448242188;0.2613541781902313;0.5059518218040466;0.3446672260761261
8;0.001;87.0605583190918;0.01675616879484906;0.9865049123764038;0.9704737663269043;0.9990683197975159;0.9730691313743591;0.9972591996192932;0.9850156307220459;3.1899309498923167;0.21896961331367493;0.11801693588495255;0.9390667080879211;0.14893607795238495;0.36244091391563416;0.21111832559108734
9;0.001;86.86445212364197;0.003995793654170159;0.9968786239624023;0.9924821853637695;0.999767541885376;0.9929577708244324;0.9995176792144775;0.9962268471717834;3.261188336781093;0.3036612272262573;0.17508921027183533;0.9676041603088379;0.2907163202762604;0.30566132068634033;0.29800155758857727
10;0.0001;86.9490258693695;0.00264988323466988;0.9977443218231201;0.9953726530075073;0.9998572468757629;0.9957231879234314;0.9996464252471924;0.9976808428764343;3.1959095341818675;0.3043290972709656;0.17401324212551117;0.9657710194587708;0.27570247650146484;0.32055485248565674;0.2964417040348053
11;0.0001;86.78586959838867;0.002363142749026344;0.9979156255722046;0.9959569573402405;0.9998754262924194;0.9962757229804993;0.9996788501739502;0.9979743957519531;3.2307533536638533;0.3025112748146057;0.17041820287704468;0.9657182097434998;0.2722141146659851;0.31305381655693054;0.29120907187461853
12;0.0001;87.17033171653748;0.002182730011771501;0.9980937242507935;0.9964693784713745;0.9998912215232849;0.996778130531311;0.9996892809867859;0.9982315301895142;3.219759941101074;0.29802775382995605;0.16516968607902527;0.9643243551254272;0.2585810720920563;0.3137628734111786;0.28351181745529175
13;0.0001;86.95273327827454;0.002002262745117337;0.9982002377510071;0.9968032240867615;0.9999015927314758;0.9970958232879639;0.9997056722640991;0.9983990788459778;3.232980625970023;0.2957025170326233;0.164295956492424;0.965405285358429;0.2646239399909973;0.3023313581943512;0.2822237014770508
14;0.0001;86.9980742931366;0.001933443850362735;0.9982928037643433;0.9970259666442871;0.999908447265625;0.9973264932632446;0.9996978044509888;0.9985107779502869;3.1979102066584995;0.2922467887401581;0.1632838249206543;0.9639394283294678;0.25460946559906006;0.3128204941749573;0.28072911500930786
15;0.0001;87.26416158676147;0.0018498278176720371;0.9983248114585876;0.9970645904541016;0.9999095797538757;0.9973381757736206;0.9997249841690063;0.9985300898551941;3.2302157197679793;0.2866884171962738;0.1575925052165985;0.9638146758079529;0.2486150562763214;0.30091506242752075;0.2722763121128082
16;0.0001;87.10789728164673;0.0017404960987269138;0.9984474778175354;0.9973547458648682;0.9999185800552368;0.9976213574409485;0.9997320771217346;0.9986757040023804;3.218816007886614;0.28780996799468994;0.1596929430961609;0.9632167816162109;0.24728737771511078;0.31073859333992004;0.27540555596351624
17;0.0001;86.94371008872986;0.0016211819713966094;0.9985173344612122;0.9975281953811646;0.9999240040779114;0.9977712035179138;0.9997559189796448;0.9987624883651733;3.2429027216775075;0.28637611865997314;0.1594957709312439;0.9640815258026123;0.2519337832927704;0.3029879331588745;0.2751123011112213
18;0.0001;86.80856490135193;0.0015597453029419215;0.9985727667808533;0.9976357817649841;0.9999272227287292;0.9978764057159424;0.9997583627700806;0.9988164305686951;3.2260758195604597;0.2803511321544647;0.15391919016838074;0.9614182710647583;0.2330005019903183;0.3120047450065613;0.2667763829231262
19;0.0001;87.26419758796692;0.001479112598289495;0.9986396431922913;0.9977608323097229;0.9999310970306396;0.9979889392852783;0.999770998954773;0.9988791942596436;3.223661354609898;0.2840413749217987;0.15747606754302979;0.9618684649467468;0.23844607174396515;0.31682151556015015;0.2721025049686432
20;1e-05;87.19797205924988;0.001433000848582323;0.9986923933029175;0.9978588819503784;0.9999341368675232;0.998081386089325;0.9997766613960266;0.9989283680915833;3.2168520518711636;0.2865191102027893;0.15928106009960175;0.9624767303466797;0.24308200180530548;0.3160184323787689;0.2747928202152252
21;1e-05;86.91174650192261;0.0014286759920072872;0.998677670955658;0.9978429675102234;0.9999336004257202;0.9980525970458984;0.9997895359992981;0.9989202618598938;3.2337866851261685;0.2875652313232422;0.15980710089206696;0.9625633358955383;0.24400532245635986;0.3165284991264343;0.27557530999183655
22;1e-05;86.72218918800354;0.001401333299863294;0.9987171292304993;0.9979153275489807;0.9999358057975769;0.9981285929679871;0.9997859001159668;0.9989565014839172;3.2429542200905934;0.28737473487854004;0.1598600447177887;0.9629131555557251;0.24584197998046875;0.31369414925575256;0.27565401792526245
23;1e-05;87.06313633918762;0.001382607370707521;0.9987174272537231;0.9979286789894104;0.9999362230300903;0.998136579990387;0.9997912645339966;0.9989632368087769;3.2275427409580777;0.2893998324871063;0.16074874997138977;0.9627910256385803;0.24603593349456787;0.3168124854564667;0.27697423100471497
24;1e-05;87.15873408317566;0.0013885288156217446;0.9987204670906067;0.9979310035705566;0.9999363422393799;0.9981440901756287;0.9997861385345459;0.9989644289016724;3.2361529214041576;0.2887858748435974;0.1605534851551056;0.9627549052238464;0.2456701695919037;0.3166605532169342;0.27668434381484985
25;1e-05;86.79730582237244;0.0013603593727006325;0.9987499713897705;0.9979803562164307;0.999937891960144;0.9981890320777893;0.9997905492782593;0.9989891648292542;3.2643552167075023;0.288420170545578;0.16004571318626404;0.9628021121025085;0.24544064700603485;0.3150688111782074;0.2759300172328949
26;1e-05;87.14277815818787;0.0013691602981748022;0.9987307190895081;0.9979510307312012;0.9999369382858276;0.9981657862663269;0.9997844696044922;0.9989745020866394;3.252987895693098;0.2893751859664917;0.1607174277305603;0.9624574184417725;0.2443210333585739;0.3195781111717224;0.27692773938179016
